Name	Handle	Party
Troy Nehls	@SheriffTNehls	Republican
Tony Gonzales	@TonyGonzales4TX	Republican
Beth Van Duyne	@Bethvanduyne	Republican
Roger Williams	@RepRWilliams	Republican
Michael Burgess	@michaelcburgess	Republican
Michael Cloud	@RepCloudTX	Republican
Henry Cuellar	@RepCuellar	Democrat
Sylvia Garcia	@RepSylviaGarcia	Democrat
Eddie Bernice Johnson	@RepEBJ	Democrat
John Carter	@JudgeCarter	Republican
Colin Allred	@RepColinAllred	Democrat
Marc Veasey	@RepVeasey	Democrat
Filemon Vela	@RepFilemonVela	Democrat
Lloyd Doggett	@RepLloydDoggett	Democrat
Brian Babin	@RepBrianBabin	Republican
Mike Lee	@SenMikeLee	Republican
Mitt Romney	@SenatorRomney	Republican
Blake Moore	@RepBlakeMoore	Republican
Chris Stewart	@RepChrisStewart	Republican
John R. Curtis	@RepJohnCurtis	Republican
Burgess Owens	@BurgessOwens	Republican
Bernie Sanders	@SenSanders	Democrat
Patrick Leahy	@SenatorLeahy	Democrat
Peter Welch	@PeterWelch	Democrat
Mark Warner	@MarkWarner	Democrat
Tim Kaine	@timkaine	Democrat
Robert J. Wittman	@RobWittman	Republican
Elaine Luria	@RepElaineLuria	Democrat
Robert C. Scott	@BobbyScott	Democrat
Donald McEacchin	@Donald_McEachin	Republican
Bob Good	@GoodForCongress	Republican
Ben Cline	@RepBenCline	Republican
Abigail Spanberger	@RepSpanberger	Democrat
Don Beyer	@RepDonBeyer	Democrat
Morgan Griffith	@RepMGriffith	Republican
Jennifer Wexton	@RepWexton	Democrat
Gerald E. �Gerry� Connolly	@GerryConnolly	Democrat
Stacey Plaskett	@StaceyPlaskett	Democrat
Patty Murray	@PattyMurray	Democrat
Maria Cantwell	@SenatorCantwell	Democrat
Suzan DelBene	@RepDelBene	Democrat
Rick Larsen	@RepRickLarsen	Democrat
Jaime Herrera Beutler	@HerreraBeutler	Republican
Dan Newhouse	@RepNewhouse	Republican
Cathy McMorris Rodgers	@cathymcmorris	Republican
Derek Kilmer	@RepDerekKilmer	Democrat
Pramila Jayapal	@PramilaJayapal	Democrat
Kim Schrier	@RepKimSchrier	Democrat
Adam Smith	@RepAdamSmith	Democrat
Marilyn Strickland	@StricklandforWA	Democrat
Joe Manchin	@Sen_JoeManchin	Democrat
Shelley Moore Capito	@SenCapito	Republican
David McKinley	@RepMcKinley	Republican
Alex Mooney	@RepAlexMooney	Republican
Carol Miller	@RepCarolMiller	Republican
Ron Johnson	@SenRonJohnson	Republican
Tammy Baldwin	@SenatorBaldwin	Democrat
Bryan Steil	@RepBryanSteil	Democrat
Mark Pocan	@repmarkpocan	Democrat
Ron Kind	@RepRonKind	Democrat
Gwen Moore	@RepGwenMoore	Democrat
Scott Fitzgerald	@FitzgeraldForWI	Republican
Glenn Grothman	@RepGrothman	Republican
Thomas Tiffany	@TomTiffanyWI	Republican
Mike Gallagher	@MikeforWI	Republican
Cynthia Lummis	@SenLummis	Republican
John Barrasso	@SenJohnBarrasso	Republican
Liz Cheney	@Liz_Cheney	Republican
